TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
5121.1,T,104832.0,4645.39551,-11727.78418,585.68,1.06,15.74,69.8,3.20,17,22.15,17.43,32.42,94.42,594.58,0.42,4.04,91.49,0.00,Wait,Wait,Wait
5121.6,T,104832.5,4645.39697,-11727.77930,586.31,1.13,15.32,70.4,3.20,17,22.14,17.43,32.42,94.40,595.82,0.93,4.05,92.10,0.00,Wait,Wait,Wait
5122.1,T,104833.0,4645.39844,-11727.77344,586.98,1.21,14.72,68.7,3.28,17,22.13,17.43,32.42,94.41,595.65,0.61,4.05,91.73,0.00,Wait,Wait,Wait
5122.6,T,104833.5,4645.39990,-11727.76855,587.63,1.12,14.20,67.6,3.28,17,22.12,17.43,32.42,94.42,594.85,0.06,4.05,91.73,0.00,Wait,Wait,Wait
5123.1,T,104834.0,4645.40137,-11727.76270,588.29,1.11,13.78,66.1,3.28,17,22.11,17.43,32.42,94.42,594.23,-0.27,4.04,91.49,0.00,Wait,Wait,Wait
5123.6,T,104834.5,4645.40283,-11727.75879,588.95,1.10,13.26,64.2,3.34,17,22.10,17.43,32.43,94.38,597.86,1.60,4.05,91.85,0.00,Wait,Wait,Wait
5124.1,T,104835.0,4645.40479,-11727.75391,589.60,1.15,12.74,61.5,3.34,17,22.10,17.43,32.42,94.40,595.82,0.18,4.05,92.34,0.00,Wait,Wait,Wait
5124.6,T,104835.5,4645.40625,-11727.75000,590.14,1.01,12.28,58.5,3.34,17,22.09,17.43,32.42,94.39,596.89,0.67,4.05,91.98,0.00,Wait,Wait,Wait
5125.1,T,104836.0,4645.40820,-11727.74609,590.69,0.96,11.85,55.9,3.34,17,22.08,17.43,32.42,94.39,596.98,0.55,4.05,91.98,0.00,Wait,Wait,Wait
5125.6,T,104836.5,4645.40967,-11727.74219,591.12,0.85,11.50,53.4,3.34,17,22.08,17.43,32.42,94.40,596.62,0.23,4.05,91.85,0.00,Wait,Wait,Wait
5126.1,T,104837.0,4645.41162,-11727.73828,591.49,0.84,11.19,51.4,3.34,17,22.07,17.43,32.42,94.40,596.53,0.13,4.05,91.85,0.00,Wait,Wait,Wait
